Method,Mesh Size (h),Total DoFs,Interface DoFs,Time (s),Iterations,Error_1,Error_2
Alternating,0.1,242,22,0.5782566200000474,16,0.020319130589768936,0.020319148140768156
Algebraic,0.1,242,22,0.12636159300006966,7,0.020319191422178633,0.02031919142217852
Matrix-Free,0.1,242,22,0.12080504499999734,6,0.020319191002518385,0.020319191002518437
Alternating,0.06812920690579612,512,32,0.9275764870000103,14,0.009263319794868854,0.009263348360026236
Algebraic,0.06812920690579612,512,32,0.018036341000083667,7,0.009263410103793389,0.009263410103793421
Matrix-Free,0.06812920690579612,512,32,0.08761391699999876,6,0.009263410047925247,0.009263410047925176
Alternating,0.046415888336127795,1104,46,3.1582335340000327,13,0.004223167313252649,0.00422320351020249
Algebraic,0.046415888336127795,1104,46,0.07527252500005943,6,0.004223260668386555,0.004223260668386248
Matrix-Free,0.046415888336127795,1104,46,0.27293630400004076,6,0.004223260668386729,0.004223260668386339
Alternating,0.03162277660168379,2244,66,7.731519049999974,12,0.0020455150244839265,0.0020455802256332395
Algebraic,0.03162277660168379,2244,66,0.1847655730000497,6,0.0020456234121570384,0.0020456234121579383
Matrix-Free,0.03162277660168379,2244,66,0.4351720370000294,5,0.0020456121494075194,0.002045612149408537
Alternating,0.021544346900318846,4700,94,11.183218644000021,12,0.0009590761258367507,0.0009591206624259257
Algebraic,0.021544346900318846,4700,94,0.17168283500006964,6,0.0009591361637044216,0.000959136163704878
Matrix-Free,0.021544346900318846,4700,94,0.7549908070000129,5,0.0009591305079153781,0.0009591305079162297
Alternating,0.014677992676220698,10074,138,17.486257863000105,12,0.0004445853237380987,0.00044463288713780645
Algebraic,0.014677992676220698,10074,138,0.26343515900009606,6,0.00044463070400903196,0.00044463070400425306
Matrix-Free,0.014677992676220698,10074,138,1.8679512869999826,5,0.00044462800400879484,0.0004446280040034169
Alternating,0.01,21412,202,37.82439010099995,12,0.0002090015377274149,0.0002090574225610492
Algebraic,0.01,21412,202,0.39565490500012857,6,0.00020904467967386165,0.00020904467968017407
Matrix-Free,0.01,21412,202,2.518137850999892,5,0.00020904340949943833,0.00020904340950754464
Alternating,0.006812920690579615,45880,296,119.85692687200003,12,9.575670981500112e-05,9.57885061473381e-05
Algebraic,0.006812920690579615,45880,296,0.7002138950001608,5,9.577992344260115e-05,9.577992346573318e-05
Matrix-Free,0.006812920690579615,45880,296,4.902190524000048,4,9.571103204058888e-05,9.571103205902772e-05
Alternating,0.004641588833612782,98064,432,525.526143754,12,4.45612202603827e-05,4.458909115045849e-05
Algebraic,0.004641588833612782,98064,432,1.8958888119998392,5,4.458042100247104e-05,4.458042094914359e-05
Matrix-Free,0.004641588833612782,98064,432,38.18332934800014,4,4.4548205290958625e-05,4.4548205227404916e-05
Alternating,0.0031622776601683794,211122,634,1082.401173522,12,2.06419639136516e-05,2.0670717361403712e-05
Algebraic,0.0031622776601683794,211122,634,4.344122711999717,5,2.0660886033312948e-05,2.0660885978109947e-05
Matrix-Free,0.0031622776601683794,211122,634,29.77592157199979,3,2.0556008166214593e-05,2.0556008083959474e-05
