Method,Mesh Size (h),Total DoFs,Time (s),Iterations
Alternating,0.31622776601683794,40,0.26326836299995193,14
Algebraic,0.31622776601683794,40,0.0686225349995766,7
Matrix-Free,0.31622776601683794,40,0.08663739199982956,7
Alternating,0.2697953640073,48,0.21819557699973302,14
Algebraic,0.2697953640073,48,0.014293042999725003,7
Matrix-Free,0.2697953640073,48,0.08656177500006379,7
Alternating,0.23018073130224664,60,0.23974428900010025,13
Algebraic,0.23018073130224664,60,0.018199459000243223,5
Matrix-Free,0.23018073130224664,60,0.06971183299992845,5
Alternating,0.196382800192977,70,0.4545940799998789,13
Algebraic,0.196382800192977,70,0.020719306000046345,7
Matrix-Free,0.196382800192977,70,0.08992197000043234,7
Alternating,0.16754749189233412,82,1.964514415999929,13
Algebraic,0.16754749189233412,82,0.5742922939998607,9
Matrix-Free,0.16754749189233412,82,1.2132103840003765,9
Alternating,0.14294613383568447,96,0.31940876499993465,12
Algebraic,0.14294613383568447,96,0.019645282999590563,7
Matrix-Free,0.14294613383568447,96,0.08219483199991373,7
Alternating,0.12195704601594415,146,0.3424018939999769,12
Algebraic,0.12195704601594415,146,0.024395511999955488,9
Matrix-Free,0.12195704601594415,146,0.10751540799992654,9
Alternating,0.10404983103657856,172,0.3401838630002203,12
Algebraic,0.10404983103657856,172,0.026357657000062318,10
Matrix-Free,0.10404983103657856,172,0.12328212000011263,10
Alternating,0.08877197088985865,242,0.5625714239999979,13
Algebraic,0.08877197088985865,242,0.04822974700027771,9
Matrix-Free,0.08877197088985865,242,0.18523225600029036,9
Alternating,0.0757373917589501,310,0.5858845719999408,13
Algebraic,0.0757373917589501,310,0.04590619900045567,9
Matrix-Free,0.0757373917589501,310,0.18808300500040787,9
Alternating,0.0646167078746697,386,0.8377159000001484,13
Algebraic,0.0646167078746697,386,0.0396896709999055,9
Matrix-Free,0.0646167078746697,386,0.15820996900038153,9
Alternating,0.05512889788770675,531,0.7742082459999438,13
Algebraic,0.05512889788770675,531,0.029307917000096495,9
Matrix-Free,0.05512889788770675,531,0.12731008499986274,9
Alternating,0.047034203416986345,704,0.8655201399997168,13
Algebraic,0.047034203416986345,704,0.039113766999889776,8
Matrix-Free,0.047034203416986345,704,0.1645564989999002,8
Alternating,0.040128070319427764,898,2.842364914999962,13
Algebraic,0.040128070319427764,898,0.07755077100000562,7
Matrix-Free,0.040128070319427764,898,0.19050302999994528,7
Alternating,0.03423597957607582,1280,3.630064989999937,13
Algebraic,0.03423597957607582,1280,0.11642100300014135,8
Matrix-Free,0.03423597957607582,1280,0.26766163100000995,8
Alternating,0.029209037170322485,1668,4.847745265999947,13
Algebraic,0.029209037170322485,1668,0.11959843799968439,5
Matrix-Free,0.029209037170322485,1668,0.3347540569998273,5
Alternating,0.024920211513780568,2304,9.622676282999691,13
Algebraic,0.024920211513780568,2304,0.3919464900004641,8
Matrix-Free,0.024920211513780568,2304,0.43171697599973413,8
Alternating,0.021261123338996567,3089,8.478675891999956,13
Algebraic,0.021261123338996567,3089,0.2420129120000638,5
Matrix-Free,0.021261123338996567,3089,0.5422014940004374,5
Alternating,0.018139306939110623,4238,11.99092662699968,13
Algebraic,0.018139306939110623,4238,0.16272500399963974,7
Matrix-Free,0.018139306939110623,4238,0.8010303309997653,7
Alternating,0.015475873545578892,5698,13.276956573999996,13
Algebraic,0.015475873545578892,5698,0.20139200099993104,7
Matrix-Free,0.015475873545578892,5698,0.9856180000001586,7
Alternating,0.013203517797162948,7578,17.455207447000248,13
Algebraic,0.013203517797162948,7578,0.20710217700025169,6
Matrix-Free,0.013203517797162948,7578,1.5006709980002597,6
Alternating,0.011264816923358862,10481,21.62324917800015,13
Algebraic,0.011264816923358862,10481,0.27966839500004426,4
Matrix-Free,0.011264816923358862,10481,1.1747100850002425,4
Alternating,0.009610779662375923,14464,33.638845647999915,13
Algebraic,0.009610779662375923,14464,0.49141170799975953,5
Matrix-Free,0.009610779662375923,14464,5.2820472190001055,5
Alternating,0.008199608244604943,19576,60.962792506999904,13
Algebraic,0.008199608244604943,19576,0.41274975600026664,6
Matrix-Free,0.008199608244604943,19576,5.0540582389999145,6
Alternating,0.006995642156712634,26575,79.23237207700004,13
Algebraic,0.006995642156712634,26575,0.46169829699965703,5
Matrix-Free,0.006995642156712634,26575,4.062767661999715,5
Alternating,0.0059684569951223105,36636,87.20314462899978,13
Algebraic,0.0059684569951223105,36636,0.7342494740000802,5
Matrix-Free,0.0059684569951223105,36636,4.738037063999855,5
Alternating,0.0050920956367733975,50268,138.7758508679999,13
Algebraic,0.0050920956367733975,50268,0.973185375000412,5
Matrix-Free,0.0050920956367733975,50268,14.39643414999955,5
Alternating,0.004344412298729368,68729,264.02811208599996,13
Algebraic,0.004344412298729368,68729,1.7682807369992588,3
Matrix-Free,0.004344412298729368,68729,18.57776566299981,3
Alternating,0.0037065129109221566,93914,405.57048850499996,13
Algebraic,0.0037065129109221566,93914,2.4095121649997964,4
Matrix-Free,0.0037065129109221566,93914,11.466944752000018,4
Alternating,0.0031622776601683794,128797,591.5537964189998,13
Algebraic,0.0031622776601683794,128797,2.6428210890007904,3
Matrix-Free,0.0031622776601683794,128797,17.54718675699951,3
